# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	55575	57461	+	QQR12148.1			DNA primase			I5Q89_00255	1887	628	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	57570	58676	+					rpoD		I5Q89_00260	1107		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	57570	58676	+	QQR12149.1			RNA polymerase sigma factor RpoD	rpoD		I5Q89_00260	1107	368	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	58828	60891	+							I5Q89_00265	2064		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	58828	60891	+	QQR12150.1			hypothetical protein			I5Q89_00265	2064	687	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	60965	61846	+							I5Q89_00270	882		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	60965	61846	+	QQR12151.1			DNA-binding protein			I5Q89_00270	882	293	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	61962	62411	+							I5Q89_00275	450		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	61962	62411	+	QQR12152.1			transcriptional repressor			I5Q89_00275	450	149	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	62462	63472	-					gap		I5Q89_00280	1011		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	62462	63472	-	QQR12153.1			type I glyceraldehyde-3-phosphate dehydrogenase	gap		I5Q89_00280	1011	336	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	63766	65076	+					obgE		I5Q89_00285	1311		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	63766	65076	+	QQR13402.1			GTPase ObgE	obgE		I5Q89_00285	1311	436	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	65215	65517	+							I5Q89_00290	303		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	65215	65517	+	QQR12154.1			hypothetical protein			I5Q89_00290	303	100	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	65544	66842	+							I5Q89_00295	1299		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	65544	66842	+	QQR12155.1			PTS sugar transporter subunit IIC			I5Q89_00295	1299	432	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	67062	67607	+							I5Q89_00300	546		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	67062	67607	+	QQR12156.1			TetR/AcrR family transcriptional regulator			I5Q89_00300	546	181	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	67750	68124	+							I5Q89_00305	375		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	67750	68124	+	QQR12157.1			YxeA family protein			I5Q89_00305	375	124	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	68168	68917	-							I5Q89_00310	750		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	68168	68917	-	QQR12158.1			peptidylprolyl isomerase			I5Q89_00310	750	249	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	69099	70190	+							I5Q89_00315	1092		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	69099	70190	+	QQR12159.1			DUF871 domain-containing protein			I5Q89_00315	1092	363	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	70385	71314	+							I5Q89_00320	930		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	70385	71314	+	QQR12160.1			alpha/beta hydrolase			I5Q89_00320	930	309	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	71483	72373	+					xerD		I5Q89_00325	891		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	71483	72373	+	QQR12161.1			site-specific tyrosine recombinase XerD	xerD		I5Q89_00325	891	296	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	72438	73232	+							I5Q89_00330	795		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	72438	73232	+	QQR12162.1			segregation/condensation protein A			I5Q89_00330	795	264	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	73229	73834	+					scpB		I5Q89_00335	606		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	73229	73834	+	QQR12163.1			SMC-Scp complex subunit ScpB	scpB		I5Q89_00335	606	201	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	73838	74554	+							I5Q89_00340	717		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	73838	74554	+	QQR12164.1			rRNA pseudouridine synthase			I5Q89_00340	717	238	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	74897	75562	+							I5Q89_00345	666		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	74897	75562	+	QQR12165.1			ECF transporter S component			I5Q89_00345	666	221	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	75818	77149	+							I5Q89_00350	1332		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	75818	77149	+	QQR13403.1			zinc ribbon domain-containing protein			I5Q89_00350	1332	443	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	77172	77390	-							I5Q89_00355	219		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	77172	77390	-	QQR12166.1			ferredoxin			I5Q89_00355	219	72	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	77426	78460	+							I5Q89_00360	1035		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	77426	78460	+	QQR12167.1			helix-turn-helix domain-containing protein			I5Q89_00360	1035	344	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	78461	79903	+							I5Q89_00365	1443		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	78461	79903	+	QQR12168.1			ATP-dependent DNA helicase RecQ			I5Q89_00365	1443	480	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	79979	80602	+							I5Q89_00370	624		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	79979	80602	+	QQR12169.1			LysM peptidoglycan-binding domain-containing protein			I5Q89_00370	624	207	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	80838	81518	+							I5Q89_00375	681		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	80838	81518	+	QQR12170.1			(d)CMP kinase			I5Q89_00375	681	226	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	81632	82843	+					rpsA		I5Q89_00380	1212		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	81632	82843	+	QQR12171.1			30S ribosomal protein S1	rpsA		I5Q89_00380	1212	403	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	83017	84327	+					der		I5Q89_00385	1311		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	83017	84327	+	QQR12172.1			ribosome biogenesis GTPase Der	der		I5Q89_00385	1311	436	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	84575	84850	+							I5Q89_00390	276		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	84575	84850	+	QQR12173.1			HU family DNA-binding protein			I5Q89_00390	276	91	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	85157	86197	+							I5Q89_00395	1041		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	85157	86197	+	QQR12174.1			hypothetical protein			I5Q89_00395	1041	346	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	86207	87463	+							I5Q89_00400	1257		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	86207	87463	+	QQR12175.1			tetratricopeptide repeat protein			I5Q89_00400	1257	418	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	87473	88012	+							I5Q89_00405	540		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	87473	88012	+	QQR12176.1			YpiB family protein			I5Q89_00405	540	179	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	88050	88934	-							I5Q89_00410	885		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	88050	88934	-	QQR12177.1			YitT family protein			I5Q89_00410	885	294	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	89058	89408	+							I5Q89_00415	351		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	89058	89408	+	QQR12178.1			nucleotide pyrophosphohydrolase			I5Q89_00415	351	116	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	89401	90180	+							I5Q89_00420	780		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	89401	90180	+	QQR12179.1			4-hydroxy-tetrahydrodipicolinate reductase			I5Q89_00420	780	259	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	90177	91397	+							I5Q89_00425	1221		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	90177	91397	+	QQR12180.1			CCA tRNA nucleotidyltransferase			I5Q89_00425	1221	406	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	91397	91771	+							I5Q89_00430	375		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	91397	91771	+	QQR12181.1			thioesterase			I5Q89_00430	375	124	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	91861	92316	+							I5Q89_00435	456		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	91861	92316	+	QQR12182.1			hypothetical protein			I5Q89_00435	456	151	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	92804	93670	+					aroE		I5Q89_00440	867		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	92804	93670	+	QQR12183.1			shikimate dehydrogenase	aroE		I5Q89_00440	867	288	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	93707	94732	+					aroF		I5Q89_00445	1026		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	93707	94732	+	QQR12184.1			3-deoxy-7-phosphoheptulonate synthase	aroF		I5Q89_00445	1026	341	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	94755	95831	+							I5Q89_00450	1077		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	94755	95831	+	QQR12185.1			3-dehydroquinate synthase			I5Q89_00450	1077	358	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	95833	96999	+					aroC		I5Q89_00455	1167		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	95833	96999	+	QQR12186.1			chorismate synthase	aroC		I5Q89_00455	1167	388	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	97033	98127	+							I5Q89_00460	1095		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	97033	98127	+	QQR12187.1			prephenate dehydrogenase			I5Q89_00460	1095	364	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	98134	99420	+					aroA		I5Q89_00465	1287		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	98134	99420	+	QQR12188.1			3-phosphoshikimate 1-carboxyvinyltransferase	aroA		I5Q89_00465	1287	428	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	99440	99946	+							I5Q89_00470	507		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	99440	99946	+	QQR12189.1			shikimate kinase			I5Q89_00470	507	168	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	99954	100802	+					pheA		I5Q89_00475	849		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	99954	100802	+	QQR12190.1			prephenate dehydratase	pheA		I5Q89_00475	849	282	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	100946	102118	+							I5Q89_00480	1173		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	100946	102118	+	QQR12191.1			LCP family protein			I5Q89_00480	1173	390	
