dbCAN.subfam	Subfam.Composition	Subfam.EC	Substrate	Profile.Length	Gene.ID	Gene.Length	E.Value	Profile.Start	Profile.End	Gene.Start	Gene.End	Coverage
GH2_e92	GH2:6387|CBM67:1|CBM32:1	3.2.1.23:41	beta-D-galactoside	861	NZ_CP028714.1_1322	1031	0	3	861	28	887	0.996515679443
GH1_e0	GH1:9150	3.2.1.86:26|3.2.1.23:2|3.2.1.21:1	6-phospho-beta-D-glucoside, beta-D-galactoside, beta-D-glucoside	472	NZ_CP028714.1_1700	478	4.8e-248	2	472	6	475	0.995762711864
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	NZ_CP028714.1_1911	475	1.8e-229	1	470	4	471	0.997872340426
CBM50_e391	CBM50:1681	-	chitin or peptidoglycan	49	NZ_CP028714.1_1962	150	1.1e-29	1	49	100	148	0.979591836735
GH4_e0	GH4:3065	3.2.1.22:13	alpha-D-galactoside (raffinose family of oligosaccharides)	181	NZ_CP028714.1_266	452	1.5e-105	1	181	7	187	0.994475138122
GH13_e245	GH13_5:159|GH13:3	3.2.1.1:2	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides	342	NZ_CP028714.1_2665	496	5.3e-190	2	342	33	374	0.994152046784
GH65_e4	GH65:1853	2.4.1.230:11	kojibiose	386	NZ_CP028714.1_3189	756	1.4e-177	1	385	299	674	0.99481865285
GH23_e734	GH23:3967	4.2.2.n1:8	peptidoglycan	150	NZ_CP028714.1_3316	204	2.1e-68	1	148	53	200	0.98
CE4_e321	CE4:3543|GH153:3495|GT2:1	3.5.1.-:8|3.2.1.-:8	peptidoglycan	170	NZ_CP028714.1_3580	673	2.4e-71	2	170	104	272	0.988235294118
GH153_e1	GH153:2729|CE4:2716	3.5.1.-:7|3.2.1.-:7	deacetylated poly-β(1,6)-N-acetyl-D-glucosamine (bacterial PNAG for biofilm)	349	NZ_CP028714.1_3580	673	3e-167	1	349	315	665	0.997134670487
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	NZ_CP028714.1_690	390	2.7e-39	3	205	160	383	0.980582524272
GT9_e0	GT9:2054	2.4.99.-:11	-	240	NZ_CP028714.1_779	353	2.7e-121	1	240	79	318	0.995833333333
GH73_e253	GH73:3299	-	-	123	NZ_CP028714.1_835	275	3.9e-66	1	123	146	268	0.991869918699
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	NZ_CP028714.1_982	658	9.1e-40	4	96	10	101	0.910891089109
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides, starch	358	NZ_CP028714.1_982	658	3.3e-155	3	356	173	522	0.986033519553
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	NZ_CP028714.1_985	816	0	1	711	102	811	0.997191011236
GH63_e1	GH63:1941	3.2.1.20:9|3.2.1.84:9	nigerose, trehalose, kojibiose, and maltooligosaccharide, nigerose, trehalose, kojibiose, and maltooligosaccharide	774	NZ_CP028714.1_1318	784	0	2	774	8	781	0.997416020672
GT38_e0	GT38:61	2.4.99.-:7	-	391	NZ_CP028714.1_1462	410	7.1e-227	1	391	8	404	0.997442455243
GH23_e145	GH23:565	-	-	129	NZ_CP028714.1_1582	213	1.1e-66	1	129	39	173	0.992248062016
GH103_e0	GH103:4244	4.2.2.n1:10	-	291	NZ_CP028714.1_1926	362	1.8e-140	1	290	65	355	0.993127147766
GT2	GT2:42	-	-	127	NZ_CP028714.1_2471	280	6.4e-74	1	126	9	134	0.984251968504
GT4_e731	GT4:130	-	-	149	NZ_CP028714.1_2487	407	3.4e-68	1	145	225	369	0.96644295302
GT20_e1	GT20:8450	2.4.1.15:96	-	473	NZ_CP028714.1_2692	475	1.4e-179	9	471	2	454	0.976744186047
GH13_e137	GH13_18:228|GH13:5	2.4.1.352:2	sucrose 6(F)-phosphate, glucosylglycerate	342	NZ_CP028714.1_3196	560	3.3e-178	1	342	83	424	0.997076023392
CBM50_e118	CBM50:9	-	chitin or peptidoglycan	44	NZ_CP028714.1_3439	320	4.7e-16	4	43	51	90	0.886363636364
GH73_e114	GH73:3220	3.2.1.-:3	host glycan	136	NZ_CP028714.1_3470	314	2.7e-65	1	136	160	295	0.992647058824
GT2	GT2:253|GT8:1|GT0:1	2.4.1.-:1	-	280	NZ_CP028714.1_3581	442	7.6e-133	2	272	77	347	0.964285714286
CE9_e0	CE9:4926	3.5.1.25:23	host glycan	370	NZ_CP028714.1_3944	383	2.5e-185	2	370	6	377	0.994594594595
GH23_e819	GH23:3899|CBM50:3878	-	-	143	NZ_CP028714.1_4399	407	5.5e-75	1	143	56	198	0.993006993007
CBM50_e338	CBM50:4180|GH23:4153	-	chitin or peptidoglycan	43	NZ_CP028714.1_4399	407	4.3e-20	1	42	298	338	0.953488372093
CBM50_e338	CBM50:4180|GH23:4153	-	chitin or peptidoglycan	43	NZ_CP028714.1_4399	407	4.2e-19	1	42	357	396	0.953488372093
GT28_e46	GT28:8561	2.4.1.227:11	-	160	NZ_CP028714.1_4518	356	2.5e-64	1	159	185	341	0.9875
GH13_e1	GH13_29:585|GH13:36|GH13_31:2	3.2.1.93:2	sucrose 6(F)-phosphate, trehalose	345	NZ_CP028714.1_67	552	1.3e-179	1	345	30	372	0.997101449275
GT4_e1251	GT4:177	2.4.1.-:2	-	150	NZ_CP028714.1_780	375	2.1e-68	2	149	195	342	0.98
GT2	GT2:522	2.4.1.12:6|2.4.1.-:1	-	352	NZ_CP028714.1_873	873	1.6e-104	91	265	275	450	0.494318181818
GT2	GT2:522	2.4.1.12:6|2.4.1.-:1	-	352	NZ_CP028714.1_873	873	1.9e-60	78	287	434	691	0.59375
GH8_e0	GH8:4312	3.2.1.4:20|3.2.1.6:1	beta-D-glucan(cellulose, lichenin and cereal D-glucans), beta-D-glucan(laminarin, lichenin and cereal D-glucans)	326	NZ_CP028714.1_875	369	5.4e-150	1	326	26	344	0.996932515337
GH37_e6	GH37:7900	3.2.1.28:18	alpha-trehalose	476	NZ_CP028714.1_887	550	2.8e-212	1	475	73	545	0.995798319328
GH77_e27	GH77:4919|GH13_26:95|GT35:1	2.4.1.25:11	maltose, starch	540	NZ_CP028714.1_1005	695	6.7e-271	1	539	149	685	0.996296296296
GT51_e130	GT51:5094	2.4.1.129:12	-	176	NZ_CP028714.1_1025	851	1.2e-91	1	176	55	230	0.994318181818
CE9_e34	CE9:1668	3.5.1.25:2|3.5.1.80:2	host glycan	366	NZ_CP028714.1_1270	378	5.4e-201	1	366	8	373	0.997267759563
GH23_e225	GH23:4469	4.2.2.n1:1	peptidoglycan	154	NZ_CP028714.1_2031	519	1.3e-80	1	153	298	450	0.987012987013
GT51_e71	GT51:5520	-	-	166	NZ_CP028714.1_2064	759	7.9e-79	1	165	51	214	0.987951807229
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans)	222	NZ_CP028714.1_2404	756	3.1e-98	2	221	90	309	0.986486486486
GH109_e7	GH109:31	-	-	390	NZ_CP028714.1_3190	352	3.2e-19	2	147	10	156	0.371794871795
GH37_e6	GH37:7900	3.2.1.28:18	alpha-trehalose	476	NZ_CP028714.1_3307	566	1.4e-222	1	474	58	530	0.993697478992
AA6_e2	AA6:22	-	-	195	NZ_CP028714.1_3599	199	9.2e-70	2	193	5	193	0.979487179487
CE1_e38	CE1:175	-	-	268	NZ_CP028714.1_4205	278	6.1e-17	2	146	23	182	0.537313432836
GH2_e92	GH2:6387|CBM67:1|CBM32:1	3.2.1.23:41	beta-D-galactoside	861	NZ_CP028714.1_4208	1025	0	3	861	40	917	0.996515679443
CE11_e22	CE11:9240	3.5.1.108:18	biosynthesis of lipid A	272	NZ_CP028714.1_4512	306	2.3e-132	1	271	5	276	0.992647058824
GT56_e0	GT56:4056|GT41:1	2.4.1.-:18	-	353	NZ_CP028714.1_627	360	5.7e-179	1	352	2	352	0.99433427762
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan (plant)	431	NZ_CP028714.1_747	773	1.2e-237	1	430	240	669	0.99535962877
GT9_e71	GT9:5354	2.4.99.-:11	-	224	NZ_CP028714.1_788	327	3.3e-111	1	222	78	299	0.986607142857
GT2	GT2:36	-	-	128	NZ_CP028714.1_793	345	1.3e-65	1	128	10	137	0.9921875
CBM50_e486	CBM50:11431|GH73:1|CE4:1|GH25:1	-	chitin or peptidoglycan	43	NZ_CP028714.1_1882	380	2.2e-21	1	42	124	165	0.953488372093
GH23_e145	GH23:565	-	-	129	NZ_CP028714.1_228	218	4e-65	1	129	39	183	0.992248062016
GT83_e0	GT83:3973	2.4.2.43:13	-	513	NZ_CP028714.1_2281	551	1e-249	3	513	8	517	0.994152046784
GT2	GT2:251	-	-	165	NZ_CP028714.1_2284	323	1.5e-79	1	163	12	174	0.981818181818
GH25_e19	GH25:1217	-	-	167	NZ_CP028714.1_2435	273	5.4e-98	1	167	71	246	0.994011976048
GT2	GT2:59	-	-	129	NZ_CP028714.1_2475	249	8e-52	1	127	5	134	0.976744186047
GT4_e2254	GT4:11	-	-	152	NZ_CP028714.1_2480	408	9.1e-49	3	147	230	374	0.947368421053
GT4_e2962	GT4:8	-	-	104	NZ_CP028714.1_2497	350	8.2e-54	1	104	181	284	0.990384615385
GT9_e146	GT9:6	-	-	213	NZ_CP028714.1_2580	351	4.9e-30	3	211	102	323	0.976525821596
CE8_e3	CE8:3130	-	-	331	NZ_CP028714.1_3861	428	2.1e-206	1	331	91	421	0.996978851964
GT2	GT2:33	-	-	167	NZ_CP028714.1_4200	399	6.4e-101	1	167	35	201	0.994011976048
GT19_e17	GT19:7713	2.4.1.182:13	-	358	NZ_CP028714.1_4424	383	2.5e-172	1	358	10	367	0.997206703911
CE4_e2	CE4:695	3.5.1.-:1	peptidoglycan	140	NZ_CP028714.1_4476	410	1.4e-26	2	139	229	368	0.978571428571
GT30_e0	GT30:6984|GT2:1	2.4.99.-:25	-	177	NZ_CP028714.1_778	426	3.2e-79	1	176	35	211	0.988700564972
GT8_e147	GT8:1945	2.4.1.-:10|2.4.1.44:3|2.4.1.58:1	-	251	NZ_CP028714.1_782	339	2.5e-120	3	251	29	277	0.988047808765
GT9_e84	GT9:7143|GT2:1	2.4.99.-:11	-	263	NZ_CP028714.1_789	349	2e-114	5	241	66	307	0.897338403042
GT5_e31	GT5:5296	2.4.1.21:29	-	473	NZ_CP028714.1_984	478	1.1e-213	1	472	3	474	0.99577167019
GH18_e193	GH18:646|CBM5:643|CBM73:11|CBM13:1|CBM12:1	3.2.1.14:10	chitin	188	NZ_CP028714.1_1078	901	4.7e-108	1	188	610	797	0.994680851064
GT2	GT2:231	-	-	123	NZ_CP028714.1_1511	559	8.1e-55	1	123	9	131	0.991869918699
GH23_e150	GH23:4464	4.2.2.n1:2	peptidoglycan	149	NZ_CP028714.1_1639	360	3.1e-72	2	148	208	354	0.979865771812
CBM50_e486	CBM50:11431|GH73:1|CE4:1|GH25:1	-	chitin or peptidoglycan	43	NZ_CP028714.1_1736	252	4.4e-20	1	42	43	84	0.953488372093
GH102_e2	GH102:4353	4.2.2.n1:8	-	134	NZ_CP028714.1_1812	366	3.1e-69	1	134	127	258	0.992537313433
GH32_e57	GH32:2835	3.2.1.26:16	fructan(inulin, levan and sucrose)	306	NZ_CP028714.1_1851	468	1.2e-153	1	306	30	335	0.996732026144
GT2	GT2:5	-	-	167	NZ_CP028714.1_2500	296	1.1e-65	1	137	9	146	0.814371257485
GT4_e116	GT4:111	-	-	115	NZ_CP028714.1_2501	359	2e-53	2	114	196	307	0.973913043478
GH4_e24	GH4:7862	3.2.1.86:16	beta-glucoside (sinigrin, cellubiose)	179	NZ_CP028714.1_2844	451	7.4e-89	1	178	7	185	0.988826815642
GH24_e98	GH24:3855	-	-	140	NZ_CP028714.1_3383	178	1.2e-81	1	140	29	168	0.992857142857
GH3_e19	GH3:6438	3.2.1.52:16	chitin, peptidoglycan	223	NZ_CP028714.1_3445	342	9.3e-108	2	223	56	278	0.991031390135
GH36_e8	GH36:39	-	-	205	NZ_CP028714.1_3571	630	6.7e-54	2	205	189	398	0.990243902439
GH33_e0	GH33:1070	-	-	330	NZ_CP028714.1_3939	390	7.6e-169	2	329	38	368	0.990909090909
CE14_e27	CE14:619	-	-	106	NZ_CP028714.1_4199	224	3.9e-18	1	106	21	131	0.990566037736
GH23_e519	GH23:28	-	-	104	NZ_CP028714.1_4278	907	2.1e-59	1	104	27	130	0.990384615385
GT51_e28	GT51:6681	2.4.1.129:11	-	172	NZ_CP028714.1_4457	843	1.3e-82	2	171	209	378	0.982558139535
GT8_e183	GT8:1370	2.4.1.58:14	-	255	NZ_CP028714.1_783	332	6.8e-125	3	255	21	273	0.988235294118
GT8_e254	GT8:553	-	-	257	NZ_CP028714.1_785	343	8e-148	2	257	21	276	0.992217898833
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	NZ_CP028714.1_981	729	2.6e-27	6	89	122	218	0.83
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides	301	NZ_CP028714.1_981	729	7e-159	1	300	275	574	0.993355481728
GH23_e361	GH23:1413	-	-	140	NZ_CP028715.1_28	207	3.1e-70	1	140	15	154	0.992857142857
GH23_e361	GH23:1413	-	-	140	NZ_CP028715.1_98	207	3.1e-70	1	140	15	154	0.992857142857
